condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09670002256830984	676	587.0	20.0	68.0	1.0	0.4375069762203288	0.2697740892202657	0.6859346011131726
Sodium pyruvate	ShewMM_noCarbon	0.09670002118995082	676	578.0	20.0	77.0	1.0	0.4131425430789891	0.26738889945545324	0.6903655431511848
Sodium propionate	ShewMM_noCarbon	0.0	676							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	676							
Adenosine	ShewMM_noCarbon	0.46377447719041626	676	570.0	19.0	87.0	0.0	0.39434706322233104	0.32553799198396466	0.6672624958622972
Uridine	ShewMM_noCarbon	0.3899075857098312	676	568.0	17.0	91.0	0.0	0.3683358948330579	0.39108514134508365	0.6637812989045384
Inosine	ShewMM_noCarbon	0.0	676							
Cytidine	ShewMM_noCarbon	0.3912009657259207	676	570.0	17.0	89.0	0.0	0.37244851634650683	0.40214186464496643	0.6662115193644489
Sodium D,L-Lactate	ShewMM_noCarbon	0.1934000423799135	676	556.0	20.0	100.0	0.0	0.3758459293402365	0.337226766929732	0.6071342925659473
L-Glutamine	ShewMM_noCarbon	0.21097151479435403	676	602.0	20.0	53.0	1.0	0.48714710034605546	0.43661857207450483	0.6842499829619028
L-Isoleucine	ShewMM_noCarbon	0.0	676							
casamino acids	ShewMM_noCarbon	1.229291077772149	676	638.0	12.0	25.0	1.0	0.534566479082198	0.6446902479498172	0.640591295520873
