condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Lysine	MOPS minimal media_noCarbon	0.74588769180916	1047	964.0	33.0	34.0	16.0	0.5518059174247536	0.47241311154272575	0.7992613463295767
p-Coumaric acid	MOPS minimal media_noCarbon	1.0075194169587849	1047	961.0	37.0	35.0	14.0	0.5872395538301006	0.4275624807973231	0.8563034188034189
benzoic acid	MOPS minimal media_noCarbon	0.7985900312714791	1047	967.0	38.0	28.0	14.0	0.6281053885111924	0.480223622904899	0.8648642387174497
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9193705347897	1047	975.0	32.0	24.0	16.0	0.5973681477722269	0.578857444526173	0.8229151650569411
Phenylacetic acid	MOPS minimal media_noCarbon	1.119437467000755	1047	959.0	36.0	37.0	15.0	0.565232462405182	0.5960134064558817	0.8155677758712835
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.000773383432711	1047	978.0	31.0	21.0	17.0	0.6015056756787722	0.6049040693088109	0.8443467336683418
Decanoic acid	MOPS minimal media_noCarbon	1.7934651722903086	1047	973.0	33.0	26.0	15.0	0.599945287031709	0.5299468384202326	0.8640122143690386
Lauric acid	MOPS minimal media_noCarbon	2.1835383762718408	1047	968.0	33.0	30.0	16.0	0.5714560024378844	0.5575812123783609	0.8028939217963609
Octanoic acid	MOPS minimal media_noCarbon	1.3971192778615205	1047	974.0	34.0	25.0	14.0	0.6197486451300791	0.5496635849854478	0.8456220407603101
Myristic acid	MOPS minimal media_noCarbon	2.5474614389837944	1047	969.0	32.0	29.0	17.0	0.5626608379619165	0.5406618389125174	0.754040168922289
Oleic acid	MOPS minimal media_noCarbon	3.275307564407741	1047	972.0	32.0	26.0	17.0	0.5789286281649682	0.6012076868228944	0.8354921376521042
Butanol	MOPS minimal media_noCarbon	0.7278461254239356	1047	972.0	34.0	24.0	17.0	0.6046767222445854	0.6201060195470165	0.8362243296956173
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.3639230627119697	1047	981.0	32.0	18.0	16.0	0.6361804208989434	0.651821306010266	0.791925777331996
L-Valine	MOPS minimal media_noCarbon	0.7771164537504733	1047	965.0	31.0	34.0	17.0	0.5302734898605957	0.4322691328617425	0.8491618361272129
L-Leucine	MOPS minimal media_noCarbon	0.9729687549365916	1047	976.0	28.0	23.0	20.0	0.5443988756294647	0.4491886424313744	0.8509823608158122
L-Isoleucine	MOPS minimal media_noCarbon	0.9991784248388986	1047	949.0	41.0	41.0	16.0	0.5724530748551713	0.5444697354132179	0.819461645393656
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.9198670424588749	1047	982.0	30.0	26.0	9.0	0.6257141404162544	0.645171597880275	0.8472772812454952
Potassium acetate	RCH2_defined_noCarbon	0.24778007328114093	1047	981.0	30.0	27.0	9.0	0.6196862550797291	0.5318067290199697	0.8497607655502392
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7649934520828648	1047	966.0	35.0	31.0	15.0	0.5869372446780317	0.5775325104775209	0.8159114076545269
Vanillin	RCH2_defined_noCarbon	0.9219258948977386	1047	944.0	33.0	60.0	10.0	0.49365427184671906	0.47418918854610853	0.7242059466648633
p-Coumaric acid	RCH2_defined_noCarbon	1.0080846598904254	1047	969.0	33.0	36.0	9.0	0.5930799317591533	0.5818063769719963	0.8102012388488783
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.7649934520797386	1047	978.0	27.0	19.0	23.0	0.5420342012206815	0.4430387690590165	0.8568496720670634
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6743780131363915	1047	984.0	29.0	15.0	19.0	0.6141205887272131	0.5940461072210373	0.8738330463155987
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
